Periode,Bulan-Tahun,Jumlah
1,February 2022,1310
2,March 2022,14620
3,April 2022,58335
4,May 2022,115611
5,June 2022,181625
6,July 2022,246504
7,August 2022,276659
8,September 2022,291162
9,October 2022,305244
10,November 2022,287398
11,December 2022,377276
12,January 2023,331912
13,February 2023,323623
14,March 2023,370695
15,April 2023,411510
16,May 2023,439475
17,June 2023,478198
18,July 2023,541353
19,August 2023,522141
20,September 2023,508350
